last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Maldonado, Martin,455117,279,14.2,31.5,108.9,84.7,89.6,81.4,425,168,397,74,26.5,14,5.0,3.5
Canha, Mark,592192,279,15.5,36.6,108.5,87.0,92.7,82.9,434,182,400,96,34.4,25,9.0,6.1
Gyorko, Jedd,576397,278,15.2,35.6,107.7,87.3,92.1,81.8,425,181,390,87,31.3,21,7.6,5.2
Jankowski, Travis,608671,276,2.0,28.3,104.3,83.5,85.8,82.8,415,119,385,52,19.3,2,0.7,0.5
Beckham, Tim,542921,272,9.4,31.6,111.2,86.6,92.2,82.6,431,158,405,96,35.3,16,5.9,4.0
Davidson, Matt,571602,272,13.8,36.0,115.1,90.0,95.8,86.6,450,187,400,115,42.3,33,12.1,6.7
Maybin, Cameron,457727,269,7.5,34.6,111.0,86.4,90.7,83.5,429,153,415,89,33.1,11,4.1,2.9
Duvall, Adam,594807,268,22.6,31.0,109.6,89.0,93.5,85.6,441,202,392,110,41.2,28,10.4,6.6
Frazier, Adam,624428,267,10.0,34.5,105.5,87.6,90.2,86.1,413,163,383,82,30.7,11,4.1,3.1
Guzman, Ronald,608597,267,14.3,33.3,111.3,86.6,90.2,84.4,443,178,386,88,33.1,17,6.4,4.0
Judge, Aaron,592450,266,12.4,35.7,119.9,94.7,97.7,92.1,471,183,397,144,54.1,43,16.2,8.6
Muncy, Max,571970,266,17.8,38.0,110.6,90.1,94.9,84.6,445,206,399,122,46.7,45,16.9,9.4
Cano, Robinson,429664,265,8.3,37.4,113.4,93.1,95.0,92.5,419,163,399,137,51.7,23,8.7,6.6
Palka, Daniel,594953,264,11.5,28.4,118.4,92.3,97.4,90.1,448,172,410,129,49.0,38,14.4,8.5
Walker, Neil,435522,264,13.1,42.8,107.0,87.6,92.4,82.0,436,192,402,88,33.3,16,6.1,4.0
DeShields, Delino,592261,264,3.7,27.7,106.3,79.6,86.9,75.1,386,143,374,37,14.0,3,1.1,0.8
Brinson, Lewis,621446,264,6.9,27.3,113.6,89.2,93.7,86.4,450,150,414,103,39.2,23,8.7,5.7
Arcia, Orlando,606115,263,3.3,24.3,107.4,85.6,90.6,83.7,403,121,384,75,28.6,6,2.3,1.6
Bader, Harrison,664056,260,12.5,34.6,113.6,86.0,91.6,81.7,431,177,403,80,30.8,18,6.9,4.2
Gomez, Carlos,460576,259,18.2,33.2,113.1,85.0,89.7,82.1,424,178,399,76,29.3,13,5.0,3.2
Adrianza, Ehire,501303,259,14.4,34.4,107.1,84.7,90.3,78.9,405,182,387,79,30.6,13,5.0,3.6
Garcia, Avisail,541645,259,9.6,26.6,116.7,90.3,95.8,86.8,481,163,400,112,43.2,30,11.6,7.8
Eaton, Adam,594809,257,7.2,33.9,109.4,85.8,90.3,82.9,408,152,396,78,30.4,8,3.1,2.2
Cervelli, Francisco,465041,254,15.7,35.8,110.2,88.4,93.6,83.7,428,183,383,101,39.8,21,8.3,5.2
Dozier, Hunter,641531,254,13.1,33.1,112.9,89.5,93.8,85.8,439,182,401,102,40.2,27,10.6,7.0
Holt, Brock,571788,250,6.3,33.2,105.9,87.5,90.9,85.6,426,152,402,77,30.8,9,3.6,2.5
Villanueva, Christian,570799,248,21.0,34.3,110.0,86.6,90.6,85.1,434,188,392,75,31.3,24,9.7,6.3
Descalso, Daniel,518614,246,19.1,41.9,105.5,89.0,92.3,85.9,432,210,385,85,34.8,25,10.2,5.9
Kiermaier, Kevin,595281,245,6.2,26.1,110.2,84.5,90.7,81.4,416,143,394,71,29.0,11,4.5,3.0
Trumbo, Mark,444432,245,10.4,33.1,113.4,92.8,95.9,92.5,444,172,400,119,48.6,25,10.2,7.0
Bruce, Jay,457803,245,21.2,37.6,109.0,88.4,92.6,83.9,412,205,390,84,34.4,22,9.0,6.1
Martin, Leonys,547982,243,16.2,34.6,112.9,86.8,92.4,82.3,421,188,392,94,38.7,26,10.7,7.4
Granderson, Curtis,434158,239,16.3,44.8,108.3,88.3,92.3,82.3,423,202,384,82,34.3,15,6.3,3.7
Morrison, Logan,489149,239,19.6,36.4,112.6,88.1,94.5,82.5,442,200,406,89,38.2,26,10.9,7.2
