,avg_hit_angle,avg_hit_speed,fbld,avg_hr_distance,ev95percent,brl_pa,ba,est_ba,slg,est_slg,woba,est_woba,Age,HR,OBP,OPS,HR_per_PA,RBI_per_PA,SO_per_PA,SH_per_PA,SF_per_PA,IBB_per_PA,CHR_per_PA,AS__2,AS__3,Tm__ATL,Tm__BAL,Tm__BOS,Tm__CHC,Tm__CHW,Tm__CIN,Tm__CLE,Tm__COL,Tm__DET,Tm__HOU,Tm__KCR,Tm__LAA,Tm__LAD,Tm__MIA,Tm__MIL,Tm__MIN,Tm__NYM,Tm__NYY,Tm__OAK,Tm__PHI,Tm__PIT,Tm__SDP,Tm__SEA,Tm__SFG,Tm__STL,Tm__TBR,Tm__TEX,Tm__TOR,Tm__TOT,Tm__WSN
135,12.3,93.6,97.3,411.0,53.0,7.2,0.338,0.326,0.534,0.596,0.413,0.431,32.0,18,0.44,0.974,0.055964653902798235,0.1487279843444227,0.16046966731898238,0.0,0.003913894324853229,0.029354207436399216,0.03522504892367906,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,15.3,89.5,93.6,396.0,42.1,6.3,0.28,0.27,0.478,0.4970000000000001,0.359,0.364,27.0,18,0.35600000000000004,0.8340000000000001,0.025954198473282442,0.1223021582733813,0.2643884892086331,0.0,0.007194244604316547,0.0035971223021582736,0.03237410071942446,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
137,10.3,84.0,89.1,387.0,22.1,1.3,0.226,0.227,0.359,0.309,0.276,0.261,25.0,9,0.275,0.634,0.012987012987012988,0.07407407407407407,0.17647058823529413,0.010893246187363835,0.006535947712418301,0.002178649237472767,0.0196078431372549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,10.4,87.9,92.0,396.0,33.0,4.0,0.25,0.248,0.443,0.409,0.337,0.326,30.0,16,0.341,0.784,0.02,0.08151093439363817,0.18687872763419483,0.0019880715705765406,0.0019880715705765406,0.011928429423459244,0.03180914512922465,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,11.2,86.3,89.9,392.0,29.1,2.1,0.312,0.289,0.455,0.405,0.362,0.337,24.0,8,0.378,0.833,0.019011406844106463,0.08564814814814815,0.09722222222222222,0.006944444444444444,0.009259259259259259,0.0,0.018518518518518517,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
140,8.0,89.0,93.1,391.0,40.1,3.0,0.258,0.268,0.402,0.399,0.319,0.328,25.0,11,0.329,0.73,0.04991680532445923,0.0925553319919517,0.20321931589537223,0.008048289738430584,0.012072434607645875,0.0,0.022132796780684104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
141,3.8,87.1,92.6,377.0,37.0,2.5,0.313,0.293,0.482,0.411,0.358,0.33,21.0,12,0.353,0.835,0.02192982456140351,0.11643835616438356,0.15753424657534246,0.02968036529680365,0.01598173515981735,0.0,0.0273972602739726,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,13.6,86.9,91.7,400.0,30.8,4.4,0.267,0.234,0.459,0.385,0.315,0.274,23.0,13,0.289,0.748,0.02824858757062147,0.10548523206751055,0.2489451476793249,0.006329113924050633,0.006329113924050633,0.006329113924050633,0.027426160337552744,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,9.0,88.7,93.7,398.0,39.4,5.5,0.24,0.241,0.458,0.417,0.34,0.333,32.0,23,0.329,0.787,0.037383177570093455,0.15187376725838264,0.20907297830374755,0.0,0.009861932938856016,0.0019723865877712033,0.045364891518737675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
144,11.9,86.4,92.6,403.0,33.1,3.6,0.255,0.265,0.409,0.41,0.315,0.32,29.0,12,0.314,0.7240000000000001,0.028697571743929364,0.11740041928721175,0.21174004192872117,0.006289308176100629,0.0020964360587002098,0.0020964360587002098,0.025157232704402517,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
145,6.7,82.1,88.4,393.0,22.1,0.8,0.261,0.252,0.374,0.332,0.317,0.303,22.0,2,0.344,0.718,0.019704433497536943,0.07520325203252033,0.20528455284552846,0.014227642276422764,0.008130081300813009,0.0020325203252032522,0.0040650406504065045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
146,9.0,88.0,91.8,391.0,25.4,2.6,0.29100000000000004,0.259,0.441,0.377,0.34700000000000003,0.31,31.0,12,0.35600000000000004,0.797,0.02148997134670487,0.0988235294117647,0.12,0.002352941176470588,0.007058823529411765,0.002352941176470588,0.02823529411764706,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,6.8,90.2,94.9,403.0,41.6,6.0,0.249,0.266,0.426,0.416,0.308,0.315,31.0,19,0.29100000000000004,0.7170000000000001,0.04838709677419355,0.12325581395348838,0.16511627906976745,0.0,0.009302325581395349,0.004651162790697674,0.044186046511627906,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,14.6,91.2,95.3,393.0,45.5,7.8,0.229,0.269,0.443,0.515,0.308,0.354,35.0,23,0.277,0.72,0.06906077348066299,0.15308151093439365,0.27435387673956263,0.0,0.005964214711729622,0.003976143141153081,0.04572564612326044,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
149,17.4,89.3,93.8,391.0,38.4,6.1,0.224,0.24,0.438,0.446,0.325,0.336,29.0,25,0.31,0.748,0.038011695906432746,0.11359026369168357,0.2150101419878296,0.0,0.006085192697768763,0.002028397565922921,0.05070993914807302,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0.6,84.6,88.0,371.0,19.0,0.8,0.287,0.27,0.38,0.33,0.325,0.302,33.0,5,0.353,0.733,0.008565310492505356,0.0663265306122449,0.06377551020408163,0.002551020408163265,0.0,0.0,0.012755102040816327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
151,12.0,85.5,86.9,392.0,21.5,1.0,0.28,0.267,0.35700000000000004,0.34700000000000003,0.294,0.29,31.0,4,0.322,0.68,0.024590163934426233,0.08247422680412371,0.08762886597938144,0.0,0.007731958762886598,0.01288659793814433,0.010309278350515464,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
152,13.5,86.1,90.2,399.0,23.6,4.7,0.262,0.251,0.445,0.411,0.32299999999999995,0.308,26.0,12,0.309,0.754,0.015915119363395226,0.13004484304932734,0.19282511210762332,0.004484304932735426,0.011210762331838564,0.002242152466367713,0.026905829596412557,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
